Date,Ambrosia,Artemisia,Asteraceae,Alnus,Betula,Ericaceae,Carpinus,Castanea,Quercus,Chenopodium,Cupressaceae,Acer,Fraxinus,Gramineae,Fagus,Juncaceae,Aesculus,Larix,Corylus,Juglans,Umbellifereae,Ulmus,Urtica,Rumex,Populus,Pinaceae,Plantago,Platanus,Salix,Cyperaceae,Filipendula,Sambucus,Tilia,MaxAirTempC,MinAirTempC,PrecipitationC,NumWeek
1998-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.30000001192092896,-8.699999809265137,0,5
1994-06-27,0,0,0,0,0,0,0,6,0,0,1,0,0,57,0,0,0,0,0,0,0,0,407,1,0,0,4,0,0,0,0,6,1,28.899999618530273,16.899999618530273,0,26
2004-04-23,0,0,0,0,282,0,24,0,3,0,10,1,17,1,71,0,0,2,0,0,0,0,0,0,0,3,0,6,4,0,0,0,0,15.5,6.900000095367432,0,17
2018-01-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4000000953674316,-1.399999976158142,1.100000023841858,1
2018-01-18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.199999809265137,0.6000000238418579,5.199999809265137,3
2018-02-03,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,-4.800000190734863,1.600000023841858,5
2016-11-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,1.7999999523162842,45
2016-02-27,0,0,0,199,0,0,0,0,0,0,7,0,0,0,0,0,0,0,65,0,0,6,0,0,3,0,0,0,0,0,0,0,0,6.300000190734863,-1.7000000476837158,0,8
2014-02-25,0,0,0,52,0,0,0,0,0,0,302,0,5,0,0,0,0,0,45,0,0,1,0,0,8,0,0,0,0,0,0,0,0,8.800000190734863,3.799999952316284,2,9
1998-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.899999618530273,11.699999809265137,0,40
2002-02-01,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.9000000953674316,-14.399999618530273,0,5
